form,pos,translation
ba,pronoun,I
de,pronoun,you
fi,pronoun,he_she_it
jo,pronoun,we
ta,pronoun,they
qe,adposition,at
ru,adposition,to
si,adposition,with
wo,adposition,from
yi,adposition,about
zay,determiner,this
bir,determiner,that
naga,noun,person
felu,noun,child
morak,noun,house
tuwin,noun,tree
gosel,noun,water
darun,noun,fire
helom,noun,mountain
suwet,noun,road
kilam,noun,tool
zoyar,noun,animal
nemij,noun,small_animal
ragol,noun,crafted_object
buhar,noun,worker
tusim,noun,idea
lemzan,adj,wooden
morzan,adj,domestic
sogzan,adj,watery
dulok,adj,bright
ferim,adj,cold
hasun,adj,heavy
lokun,adj,near
dawen,adj,open
mirut,verb,see
kalek,verb,make
tiser,verb,go
wunad,verb,come
berik,verb,eat
solam,verb,speak
garuf,verb,carry
nelot,verb,know
juhen,verb,live
kazet,verb,break
